epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.022,0.86284,3.645,0.35743,0.65603,1.30554,0.50185,0.7,0.49631,0.30245,0.23741,0.31538,0.12561,0.04158,1.28799,5.60561,0.36984,2.14119,1.96449,0.000656716,0.000656716,0.000656716
2,64.4941,1.12241,4.69762,0.40495,0.86969,1.42746,0.36552,0.53621,0.31301,0.17398,0.29904,0.38462,0.16425,0.04692,1.82618,5.91062,0.2699,2.55735,2.5517,0.00129718,0.00129718,0.00129718
3,95.5962,1.12911,4.94392,0.40126,0.88785,1.44945,0.38343,0.33077,0.25607,0.07021,0.29103,0.14615,0.10792,0.01721,3.27649,7.4988,1.25889,2.19691,4.03684,0.00191124,0.00191124,0.00191124
4,126.84,1.12641,5.06981,0.37907,0.87422,1.45104,0.87486,0.86045,0.91984,0.55759,0.46927,0.46154,0.31469,0.09344,1.24092,4.96943,0.14477,1.44715,1.99786,0.0018812,0.0018812,0.0018812
5,158.171,1.13727,4.84086,0.38165,0.88152,1.46014,0.78817,0.87692,0.91259,0.67462,0.65013,0.51538,0.51272,0.19853,1.02346,4.32108,0.25118,0.83058,1.68419,0.0018416,0.0018416,0.0018416
6,189.335,1.07356,4.82972,0.37963,0.83094,1.41426,0.89595,0.90769,0.9667,0.6717,0.64785,0.63077,0.54297,0.26682,1.01679,3.66622,0.22414,0.83144,1.72044,0.001802,0.001802,0.001802
7,221.345,1.00978,4.24388,0.36746,0.75126,1.3597,0.87045,0.83077,0.9273,0.64792,0.58275,0.58462,0.49558,0.24627,1.10092,3.83434,0.21325,0.93722,1.69711,0.0017624,0.0017624,0.0017624
8,252.948,1.03467,4.41313,0.36073,0.78916,1.3809,0.91462,0.92308,0.97574,0.71903,0.74571,0.73846,0.69352,0.35437,0.96815,3.16689,0.20052,0.79617,1.63124,0.0017228,0.0017228,0.0017228
9,284.105,0.95961,4.1627,0.34019,0.75,1.34088,0.9562,0.97692,0.98931,0.74691,0.75659,0.76154,0.65714,0.26864,0.92258,3.36951,0.12592,0.63369,1.56849,0.0016832,0.0016832,0.0016832
10,315.007,0.93323,4.07174,0.34117,0.7061,1.33688,0.98315,0.99231,0.9895,0.78358,0.80706,0.81538,0.72222,0.30059,0.85048,3.11819,0.14847,0.54662,1.51955,0.0016436,0.0016436,0.0016436
11,346.158,0.92633,3.90417,0.31365,0.67257,1.32244,0.95298,0.95385,0.98947,0.78223,0.77302,0.81538,0.71146,0.40093,0.79797,2.7718,0.15311,0.59877,1.45044,0.001604,0.001604,0.001604
12,377.44,0.91872,3.78334,0.32285,0.68138,1.31682,0.97345,0.98462,0.99296,0.7761,0.8561,0.84615,0.79853,0.40882,0.78643,2.58579,0.15512,0.52551,1.43562,0.0015644,0.0015644,0.0015644
13,408.681,0.86266,3.60636,0.30518,0.63992,1.26807,0.9552,0.98403,0.99112,0.82459,0.8062,0.78462,0.70967,0.38077,0.6788,2.87398,0.15489,0.53878,1.29777,0.0015248,0.0015248,0.0015248
14,439.984,0.82948,3.73521,0.31496,0.61467,1.25436,0.98468,0.98913,0.99347,0.79897,0.81312,0.81538,0.69072,0.32576,0.73571,2.9169,0.14818,0.49245,1.39212,0.0014852,0.0014852,0.0014852
15,471.066,0.81663,3.52279,0.29517,0.60835,1.24184,0.97192,0.94615,0.9904,0.808,0.84625,0.82308,0.76569,0.434,0.7069,2.44179,0.16103,0.49259,1.35526,0.0014456,0.0014456,0.0014456
16,502.465,0.83229,3.40752,0.3147,0.61273,1.27177,0.98461,0.98453,0.99149,0.81091,0.85455,0.85385,0.7915,0.44011,0.65377,2.54526,0.14937,0.53089,1.30967,0.001406,0.001406,0.001406
17,533.709,0.83132,3.3858,0.29262,0.61496,1.25449,0.99702,0.97692,0.99426,0.83729,0.87179,0.85385,0.78534,0.44816,0.68437,2.34812,0.14087,0.4592,1.38171,0.0013664,0.0013664,0.0013664
18,565.02,0.80935,3.23266,0.29573,0.60841,1.25949,0.97008,0.9975,0.99327,0.82037,0.85484,0.83077,0.77744,0.41565,0.66153,2.52275,0.13266,0.49809,1.31918,0.0013268,0.0013268,0.0013268
19,596.253,0.78597,3.30948,0.29539,0.62867,1.20534,0.98459,0.98306,0.99354,0.82087,0.87391,0.86154,0.81268,0.4787,0.70573,2.33381,0.15371,0.46743,1.33191,0.0012872,0.0012872,0.0012872
20,627.385,0.76419,3.11342,0.28895,0.56942,1.21356,0.97742,0.99909,0.99469,0.84318,0.87137,0.84615,0.77067,0.47443,0.63911,2.24998,0.14421,0.42138,1.27007,0.0012476,0.0012476,0.0012476
21,658.402,0.76397,3.21343,0.28863,0.55881,1.2107,0.99742,1,0.995,0.79688,0.8627,0.85385,0.77604,0.37381,0.72073,2.61083,0.15087,0.45471,1.30986,0.001208,0.001208,0.001208
22,689.73,0.75044,3.07527,0.27849,0.54433,1.20513,0.96859,1,0.99447,0.85192,0.87273,0.84397,0.76723,0.48277,0.61941,2.11566,0.12884,0.41467,1.26085,0.0011684,0.0011684,0.0011684
23,720.865,0.74251,3.05333,0.27634,0.53219,1.19684,0.99152,0.99231,0.99485,0.87329,0.88385,0.88462,0.82032,0.51244,0.56068,2.04365,0.11144,0.37836,1.20661,0.0011288,0.0011288,0.0011288
24,752.189,0.70053,2.93084,0.26205,0.5286,1.16851,0.99011,1,0.99462,0.8648,0.87718,0.87692,0.79288,0.49247,0.5489,2.22589,0.12257,0.39918,1.19436,0.0010892,0.0010892,0.0010892
25,783.329,0.70049,2.7426,0.26395,0.50322,1.17652,0.97712,0.99231,0.99431,0.86849,0.87983,0.86154,0.79338,0.48588,0.58048,2.18582,0.14898,0.39662,1.23071,0.0010496,0.0010496,0.0010496
26,814.51,0.67802,2.64232,0.25546,0.5044,1.16136,0.99164,0.99231,0.99485,0.87917,0.8733,0.86923,0.81285,0.45719,0.54232,2.13063,0.15441,0.38295,1.17517,0.00101,0.00101,0.00101
27,845.59,0.66629,2.68675,0.25056,0.49153,1.13865,0.97742,0.99884,0.99343,0.88927,0.86429,0.86923,0.79358,0.49301,0.53424,1.9696,0.14004,0.37764,1.1943,0.0009704,0.0009704,0.0009704
28,876.644,0.69066,2.63071,0.26283,0.52008,1.17495,1,0.99802,0.995,0.87561,0.89013,0.88462,0.825,0.46539,0.57935,2.14389,0.1266,0.36977,1.20072,0.0009308,0.0009308,0.0009308
29,907.558,0.69319,2.70183,0.26338,0.49646,1.16714,0.98324,1,0.99376,0.88692,0.8696,0.88462,0.82209,0.53981,0.52214,1.99098,0.13694,0.36887,1.158,0.0008912,0.0008912,0.0008912
30,938.897,0.68143,2.54708,0.24856,0.48704,1.16063,0.98355,1,0.99187,0.875,0.87981,0.89231,0.81554,0.51561,0.53481,1.89575,0.11137,0.36608,1.19011,0.0008516,0.0008516,0.0008516
31,970.071,0.63834,2.55698,0.24297,0.47352,1.1291,0.99146,1,0.99492,0.86863,0.8557,0.84615,0.78996,0.48425,0.54675,2.05204,0.15459,0.37085,1.18832,0.000812,0.000812,0.000812
32,1001.19,0.66722,2.5938,0.24656,0.49139,1.16109,0.99805,1,0.995,0.911,0.89042,0.89231,0.82016,0.55362,0.46976,1.89376,0.12287,0.3498,1.11864,0.0007724,0.0007724,0.0007724
33,1032.3,0.63729,2.47947,0.23514,0.47088,1.12914,0.99916,1,0.995,0.90437,0.90872,0.89231,0.83628,0.55341,0.47088,1.81924,0.10101,0.33928,1.11548,0.0007328,0.0007328,0.0007328
34,1063.1,0.62713,2.40584,0.23416,0.46063,1.11561,0.99851,1,0.995,0.90836,0.88025,0.85385,0.82407,0.55499,0.45728,1.73782,0.12001,0.33582,1.10256,0.0006932,0.0006932,0.0006932
35,1094.31,0.60168,2.43045,0.23832,0.44692,1.11711,0.99846,1,0.995,0.90621,0.90596,0.89231,0.83072,0.56443,0.46127,1.78572,0.12078,0.32319,1.11286,0.0006536,0.0006536,0.0006536
36,1125.66,0.61549,2.29329,0.24849,0.4612,1.11651,0.99855,1,0.995,0.91088,0.89098,0.89231,0.84959,0.56752,0.45677,1.75206,0.11331,0.32544,1.10104,0.000614,0.000614,0.000614
37,1157.33,0.59887,2.45008,0.24286,0.44587,1.10114,0.99229,1,0.995,0.91284,0.89067,0.89231,0.83332,0.59543,0.47016,1.68431,0.11213,0.32271,1.11001,0.0005744,0.0005744,0.0005744
38,1188.6,0.58006,2.31458,0.232,0.42833,1.09225,0.99888,1,0.995,0.90389,0.89897,0.9,0.8372,0.60539,0.46177,1.63176,0.11521,0.31778,1.12019,0.0005348,0.0005348,0.0005348
39,1220.08,0.57869,2.17302,0.21744,0.41942,1.09141,0.99936,1,0.995,0.92195,0.87831,0.87692,0.82102,0.57173,0.42245,1.69896,0.10158,0.3,1.08133,0.0004952,0.0004952,0.0004952
40,1251.21,0.58261,2.20633,0.21601,0.42971,1.09651,0.99043,1,0.995,0.91024,0.8974,0.89231,0.84725,0.61366,0.44769,1.66236,0.11944,0.30696,1.10994,0.0004556,0.0004556,0.0004556
41,1282.38,0.42688,1.57085,0.13867,0.32749,1.05663,0.99853,1,0.995,0.91399,0.88745,0.87692,0.82972,0.60812,0.41975,1.62421,0.0952,0.30283,1.09329,0.000416,0.000416,0.000416
42,1313.25,0.43498,1.51561,0.13239,0.33811,1.05863,0.99922,1,0.995,0.92681,0.89928,0.9,0.85094,0.63194,0.41071,1.57141,0.09374,0.29149,1.063,0.0003764,0.0003764,0.0003764
43,1344.26,0.39788,1.46699,0.12289,0.28924,1.03329,0.99917,1,0.995,0.92305,0.89197,0.88462,0.83153,0.60564,0.39712,1.58698,0.08964,0.30401,1.05646,0.0003368,0.0003368,0.0003368
44,1374.78,0.39588,1.34362,0.11344,0.27311,1.02248,0.99939,1,0.995,0.93577,0.89944,0.9,0.85475,0.62441,0.36518,1.47853,0.08899,0.26748,1.02235,0.0002972,0.0002972,0.0002972
45,1405.39,0.37627,1.30071,0.11288,0.26682,1.00711,0.99924,1,0.995,0.94264,0.90691,0.89925,0.85716,0.64117,0.36029,1.43533,0.08921,0.26001,1.01633,0.0002576,0.0002576,0.0002576
46,1435.96,0.34649,1.26591,0.1068,0.25527,0.98835,0.99898,1,0.995,0.93048,0.90675,0.90769,0.8628,0.63782,0.36684,1.44698,0.09384,0.25865,1.02417,0.000218,0.000218,0.000218
47,1465.96,0.33046,1.21707,0.10686,0.24274,0.96234,0.99945,1,0.995,0.93335,0.9072,0.90769,0.87426,0.66875,0.35236,1.36552,0.09179,0.25487,1.0236,0.0001784,0.0001784,0.0001784
48,1495.34,0.32436,1.15779,0.10537,0.24278,0.94327,0.99953,1,0.995,0.93994,0.90253,0.9,0.86006,0.66021,0.33497,1.37544,0.0903,0.24254,1.00067,0.0001388,0.0001388,0.0001388
49,1524.73,0.3208,1.16958,0.10245,0.24054,0.97409,0.9995,1,0.995,0.9426,0.90724,0.90769,0.86772,0.67309,0.3289,1.35481,0.08575,0.23381,0.99664,9.92e-05,9.92e-05,9.92e-05
50,1554.04,0.31963,1.13493,0.1046,0.2306,0.96357,0.99951,1,0.995,0.94697,0.89997,0.9,0.85997,0.67482,0.3191,1.35047,0.08602,0.2327,0.98223,5.96e-05,5.96e-05,5.96e-05
